School,Nickname,City,State/Province,Conference,Division
Wentworth Institute of Technology,Leopards,Boston,Massachusetts,Commonwealth Coast Conference,3
Wesley College,Wolverines,Dover,Delaware,Atlantic East Conference,3
Wesleyan College,Wolves,Macon,Georgia,USA South Athletic Conference,3
Wesleyan University,Cardinals,Middletown,Connecticut,New England Small College Athletic Conference,3
Western Connecticut State University,Colonials,Danbury,Connecticut,Little East Conference,3
Western New England University,Golden Bears,Springfield,Massachusetts,Commonwealth Coast Conference,3
Westfield State University,Owls,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Westminster College,Blue Jays,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference,3
Westminster College,Titans,New Wilmington,Pennsylvania,Presidents' Athletic Conference,3
Wheaton College,Thunder,Wheaton,Illinois,College Conference of Illinois and Wisconsin,3
Wheaton College,Lyons,Norton,Massachusetts,New England Women's and Men's Athletic Conference,3
Whitman College,Blues,Walla Walla,Washington,Northwest Conference,3
Whittier College,Poets,Whittier,California,Southern California Intercollegiate Athletic Conference,3
Whitworth University,Pirates,Spokane,Washington,Northwest Conference,3
Widener University,Pride,Chester,Pennsylvania,MAC Commonwealth Conference,3
Wilkes University,Colonels,Wilkes-Barre,Pennsylvania,MAC Freedom Conference,3
Willamette University,Bearcats,Salem,Oregon,Northwest Conference,3
William Paterson University,Pioneers,Wayne,New Jersey,New Jersey Athletic Conference,3
William Peace University,Pacers,Raleigh,North Carolina,USA South Athletic Conference,3
William Smith College,Herons,Geneva,New York,Liberty League,3
Williams College,Ephs,Williamstown,Massachusetts,New England Small College Athletic Conference,3
Wilmington College,Quakers,Wilmington,Ohio,Ohio Athletic Conference,3
Wilson College,Phoenix,Chambersburg,Pennsylvania,Colonial States Athletic Conference,3
University of Wisconsin–Eau Claire,Blugolds,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–La Crosse,Eagles,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
Wisconsin Lutheran College,Warriors,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,3
University of Wisconsin–Oshkosh,Titans,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–Platteville,Pioneers,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–River Falls,Falcons,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–Stevens Point,Pointers,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–Stout,Blue Devils,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
University of Wisconsin–Superior,Yellow Jackets,Superior,Wisconsin,Upper Midwest Athletic Conference,3
University of Wisconsin–Whitewater,Warhawks,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference,3
Wittenberg University,Tigers,Springfield,Ohio,North Coast Athletic Conference,3
College of Wooster,Fighting Scots,Wooster,Ohio,North Coast Athletic Conference,3
Worcester Polytechnic Institute,Engineers,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,3
Worcester State University,Lancers,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
Yeshiva University,Maccabees,New York,New York,Skyline Conference,3
"York College, City University of New York ",Cardinals,Queens,New York,City University of New York Athletic Conference,3
York College of Pennsylvania,Spartans,York,Pennsylvania,Capital Athletic Conference,3
