School,Nickname,City,State/Province,Conference,Division
Lancaster Bible College,Chargers,Lancaster,Pennsylvania,North Eastern Athletic Conference,3
Lasell College,Lasers,Newton,Massachusetts,Great Northeast Athletic Conference,3
Lawrence University,Vikings,Appleton,Wisconsin,Midwest Conference,3
Lebanon Valley College,Flying Dutchmen,Annville,Pennsylvania,MAC Commonwealth Conference,3
Lehman College,Lightning,The Bronx,New York,City University of New York Athletic Conference,3
Lesley University,Lynx,Boston,Massachusetts,New England Collegiate Conference,3
LeTourneau University,Yellow Jackets,Longview,Texas,American Southwest Conference,3
Lewis & Clark College,Pioneers,Portland,Oregon,Northwest Conference,3
Linfield College,Wildcats,McMinnville,Oregon,Northwest Conference,3
Loras College,Duhawks,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference,3
Louisiana College,Wildcats,Pineville,Louisiana,American Southwest Conference,3
Luther College,Norse,Decorah,Iowa,Iowa Intercollegiate Athletic Conference,3
Lycoming College,Warriors,Williamsport,Pennsylvania,MAC Commonwealth Conference,3
Lynchburg College,Hornets,Lynchburg,Virginia,Old Dominion Athletic Conference,3
Macalester College,Scots,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,3
MacMurray College,Highlanders,Jacksonville,Illinois,St. Louis Intercollegiate Athletic Conference,3
University of Maine at Farmington,Beavers,Farmington,Maine,North Atlantic Conference,3
Maine Maritime Academy,Mariners,Castine,Maine,North Atlantic Conference,3
University of Maine at Presque Isle,Owls,Presque Isle,Maine,American Collegiate Athletic Association,3
Manchester University,Spartans,North Manchester,Indiana,Heartland Collegiate Athletic Conference,3
Manhattanville College,Valiants,Purchase,New York,"MAC Freedom Conference
(Skyline Conference in 2019)",3
Maranatha Baptist University,Sabercats,Watertown,Wisconsin,Independent,3
Marian University,Sabres,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference,3
Marietta College,Pioneers,Marietta,Ohio,Ohio Athletic Conference,3
Martin Luther College,Knights,New Ulm,Minnesota,Upper Midwest Athletic Conference,3
Mary Baldwin University,Fighting Squirrels,Staunton,Virginia,USA South Athletic Conference,3
University of Mary Hardin–Baylor,Crusaders,Belton,Texas,American Southwest Conference,3
University of Mary Washington,Eagles,Fredericksburg,Virginia,Capital Athletic Conference,3
Marymount University,Saints,Arlington,Virginia,Atlantic East Conference,3
Maryville College,Scots,Maryville,Tennessee,USA South Athletic Conference,3
Marywood University,Pacers,Scranton,Pennsylvania,Atlantic East Conference,3
University of Massachusetts Boston,Beacons,Boston,Massachusetts,Little East Conference,3
Massachusetts College of Liberal Arts,Trailblazers,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
University of Massachusetts Dartmouth,Corsairs,Dartmouth,Massachusetts,Little East Conference,3
Massachusetts Institute of Technology,Engineers,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,3
Massachusetts Maritime Academy,Buccaneers,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,3
McDaniel College,Green Terror,Westminster,Maryland,Centennial Conference,3
McMurry University,War Hawks,Abilene,Texas,American Southwest Conference,3
Medaille College,Mavericks,Buffalo,New York,Allegheny Mountain Collegiate Conference,3
Medgar Evers College,Cougars,Brooklyn,New York,City University of New York Athletic Conference,3
Meredith College,Angels,Raleigh,North Carolina,USA South Athletic Conference,3
Messiah College,Falcons,Grantham,Pennsylvania,MAC Commonwealth Conference,3
Methodist University,Monarchs,Fayetteville,North Carolina,USA South Athletic Conference,3
Middlebury College,Panthers,Middlebury,Vermont,New England Small College Athletic Conference,3
Millikin University,Big Blue,Decatur,Illinois,College Conference of Illinois and Wisconsin,3
Mills College,Cyclones,Oakland,California,American Collegiate Athletic Association,3
Millsaps College,Majors and Lady Majors,Jackson,Mississippi,Southern Athletic Association,3
Milwaukee School of Engineering,Raiders,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,3
University of Minnesota Morris,Cougars,Morris,Minnesota,Upper Midwest Athletic Conference,3
Misericordia University,Cougars,Dallas,Pennsylvania,MAC Freedom Conference,3
Mitchell College,Mariners,New London,Connecticut,New England Collegiate Conference,3
Monmouth College,Scots,Monmouth,Illinois,Midwest Conference,3
Montclair State University,Red Hawks,Montclair,New Jersey,New Jersey Athletic Conference,3
Moravian College,Greyhounds,Bethlehem,Pennsylvania,Landmark Conference,3
Morrisville State College,Mustangs,Morrisville,New York,North Eastern Athletic Conference,3
Mount Aloysius College,Mounties,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference,3
Mount Holyoke College,Lyons,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,3
Mount Mary University,Blue Angels,Milwaukee,Wisconsin,Independent,3
Mount St. Joseph University,Lions,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,3
Mount Saint Mary College,Knights,Newburgh,New York,Skyline Conference,3
College of Mount Saint Vincent,Dolphins,The Bronx,New York,Skyline Conference,3
University of Mount Union,Purple Raiders,Alliance,Ohio,Ohio Athletic Conference,3
Muhlenberg College,Mules,Allentown,Pennsylvania,Centennial Conference,3
Muskingum University,Fighting Muskies,New Concord,Ohio,Ohio Athletic Conference,3
Nazareth College,Golden Flyers,Pittsford,New York,Empire 8,3
Nebraska Wesleyan University,Prairie Wolves,Lincoln,Nebraska,Iowa Intercollegiate Athletic Conference,3
Neumann University,Knights,Aston,Pennsylvania,Atlantic East Conference,3
New England College,Pilgrims,Henniker,New Hampshire,New England Collegiate Conference,3
University of New England,Nor'easters,Biddeford,Maine,Commonwealth Coast Conference,3
The College of New Jersey,Lions,Ewing,New Jersey,New Jersey Athletic Conference,3
New Jersey City University,Gothic Knights,Jersey City,New Jersey,New Jersey Athletic Conference,3
College of New Rochelle,Blue Angels,New Rochelle,New York,Independent,3
State University of New York at Brockport,Golden Eagles,Brockport,New York,State University of New York Athletic Conference,3
State University of New York at Canton,Kangaroos,Canton,New York,American Collegiate Athletic Association,3
State University of New York at Cobleskill,Fighting Tigers,Cobleskill,New York,North Eastern Athletic Conference,3
State University of New York at Cortland,Red Dragons,Cortland,New York,State University of New York Athletic Conference,3
State University of New York at Delhi,Broncos,Delhi,New York,American Collegiate Athletic Association,3
State University of New York at Fredonia,Blue Devils,Fredonia,New York,State University of New York Athletic Conference,3
State University of New York at Geneseo,Knights,Geneseo,New York,State University of New York Athletic Conference,3
State University of New York Maritime College,Privateers,The Bronx,New York,Skyline Conference,3
State University of New York Polytechnic Institute,Wildcats,Marcy,New York,North Eastern Athletic Conference,3
State University of New York at New Paltz,Hawks,New Paltz,New York,State University of New York Athletic Conference,3
State University of New York at Old Westbury,Panthers,Old Westbury,New York,Skyline Conference,3
State University of New York at Oneonta,Red Dragons,Oneonta,New York,State University of New York Athletic Conference,3
State University of New York at Oswego,Lakers,Oswego,New York,State University of New York Athletic Conference,3
State University of New York at Plattsburgh,Cardinals,Plattsburgh,New York,State University of New York Athletic Conference,3
State University of New York at Potsdam,Bears,Potsdam,New York,State University of New York Athletic Conference,3
State University of New York at Purchase,Panthers,Purchase,New York,Skyline Conference,3
New York University (NYU),Violets,New York,New York,University Athletic Association,3
